,text,probabilities,classes,trump or not
643,Should I do the #GOPdebate? https://t.co/cjTywwIl85,0.02,0,not trump
644,"Do you think @SenTedCruz knows about @bobvanderplaats dealings? Actually, I doubt it!",0.82,1,trump
656,"RT @DRUDGE_REPORT: LIMBAUGH: By not showing, he's owning entire event... https://t.co/fdizXOkBFc",0.04,0,not trump
684,“What America Needs: The Case for Trump” Great new book by the esteemed Jeffrey Lord @JeffJlpa1 Available now. https://t.co/xeHKbIDApr,0.34,0,not trump
689,"20 Most Anticipated Hotel Openings of 2016: Trump International Hotel, Washington D.C. https://t.co/jd3H0LQcas",0.1,0,not trump
690,"I hear that @SenTedCruz’s $$ man, Robert Mercer, a good man, is very angry because Cruz lied to him about liquidating his (Ted’s) holdings.?",0.38,0,not trump
692,"""Donald Trump Hands Bill O’Reilly Cable TV Viewership Win""- @deadline-https://t.co/Ytid4IrW4y",0.36,0,not trump
746,"RT @ErinBurnett: Sat down w/ @EricTrump @DonaldJTrumpJr here in Iowa.  Talked God, @realDonaldTrump late night tweets https://t.co/zLFMx4r5…",0.22,0,not trump
747,"RT @kevcirilli: CEDAR RAPIDS --

TRUMP'S DAUGHT IVANKA:

""I can just say without equivocation, my father will make America great again.""",0.0,0,not trump
753,RT @IngrahamAngle: The #CruzCrew prevailed! Smart for @MarcoRubio to keep his speech short &amp; sweet. Ditto for @realDonaldTrump who was brie…,0.26,0,not trump
754,".@Morning_Joe  @mikebarnicle on @realDonaldTrump: He finished 2nd but he made the turn successfully like a pro""",0.84,1,trump
755,"""@LoreWestphal @realDonaldTrump You MUST win the Presidency in 2016 !!!""",0.92,1,trump
756,RT @JoeNBC: Remarkable how cost-effective Post says Trump campaign was per vote and stunning how much Jeb spent per vote.  https://t.co/A28…,0.26,0,not trump
757,"""@93101Dianne @realDonaldTrump if you can do that well in Iowa then I see you acing it in all other significant states. Momentum is growing""",0.72,1,trump
758,"""@ellenEspence @realDonaldTrump Amazing job in Iowa! Cruz just barely won.""",0.84,1,trump
759,RT @namusca: #VoteTrump2016 a real leader that truly cares about America &amp; our values. He wants to bring prosperity back 2 USA https://t.co…,0.18,0,not trump
760,"""@restorereality  Iowa is meaningless...keep pushing forward, run the table in NH SC NV and Super Tuesday. America needs you! #TrumpTrain""",0.2,0,not trump
761,"""@stephbewitching @realDonaldTrump All you haters need to realize Trump got the second highest vote in history. And he's never held office!""",0.88,1,trump
762,"Anybody who watched all of Ted Cruz's far too long, rambling, overly flamboyant speech last nite would say that was his Howard Dean moment!",0.76,1,trump
791,Big storm in New Hampshire. Moved my event to Monday. Will be there next four days.,0.46,0,not trump
793,"I very much look forward to tomorrow’s debate in New Hampshire—so many things to say, so much at stake. It will be an incredible evening!",0.54,1,trump
794,Such great support in New Hampshire. So many people are working so hard to #MakeAmericaGreatAgain!,0.3,0,not trump
901,"The failing @NYDailyNews, destroyed by little Morty Zuckerman, is preparing to close and save face by going online. It's dead!",0.44,0,not trump
902,"You must be registered Republican by February 16th to vote TRUMP in the Florida primary. https://t.co/xZzUkjV3lL
https://t.co/lPuprzJBQ5",0.16,0,not trump
905,Lightweight @JebBush is spending a fortune of special interest against me in SC. False advertising- desperate and sad!,0.68,1,trump
913,"I will end illegal immigration and protect our borders! We need to MAKE AMERICA SAFE &amp; GREAT AGAIN! #Trump2016
https://t.co/wd3LlMz01I",0.04,0,not trump
1024,I use both iPhone &amp; Samsung. If Apple doesn't give info to authorities on the terrorists I'll only be using Samsung until they give info.,0.64,1,trump
1025,Hopefully others will follow suit. Our country needs &amp; should demand security. It is time to get tough &amp; be smart!,0.42,0,not trump
1041,"""@JoeNBC: Trump expressed concerns months after the Iraq War began, while 60% of Americans still supported the war. https://t.co/YmJBSgPRa7""",0.44,0,not trump
1140,"Why doesn’t @MittRomney just endorse @marcorubio already.
Should have done it before NH or Nevada where he had a little sway. Too late
now!",0.74,1,trump
1397,RT @greta: Prob w/ all pundits saying last fall @realDonaldTrump had no chance is that shows media so out of touch w/ Americans,0.28,0,not trump
1485,Is this what we want for a President? https://t.co/2yYy6Nyta9,0.0,0,not trump
1486,"Yesterday was amazing—5 victories.  Lyin’ Ted Cruz
had zero. Things are going very well!",0.94,1,trump
1487,"In the last 2 weeks, I had $35M of negative ads against me in Florida &amp; I won in a massive landslide.The establishment should save their $$!",0.7,1,trump
1490,"RT @JohnStossel: I can skate here ONLY b/c @realdonaldtrump fixed this rink after NYC gov’t spent $13M, but FAILED! Good for Trump! https:/…",0.2,0,not trump
1493,I will be interviewed on The O'Reilly Factor this evening at 8 pm on the Fox News Channel. @oreillyfactor,0.8,1,trump
1502,See you in Arizona on Friday and Saturday. https://t.co/HiOhRaTMbm,0.02,0,not trump
1503,Looking like my 5 victories on Tuesday will be just as good as if I won Ohio. Two more days and Ohio was mine!,0.48,0,not trump
1504,Highly overrated &amp; crazy @megynkelly is always complaining about Trump and yet she devotes her shows to me. Focus on others Megyn!,0.74,1,trump
1505,Who should star in a reboot of Liar Liar- Hillary Clinton or Ted Cruz? Let me know. https://t.co/ESdiEftWGs,0.02,0,not trump
1510,Senator @LindseyGrahamSC made horrible statements about @SenTedCruz – and then he endorsed him. No wonder nobody trusts politicians!,0.74,1,trump
1511,".@EWErickson got fired like a dog from RedState
and now he is the one leading opposition against me.",0.54,1,trump
1569,I have proven to be far more correct about terrorism than anybody- and it’s not even close. Hopefully AZ and UT will be voting for me today!,0.66,1,trump
1570,Watch this clip from earlier this year. Time &amp; time again I have been right about terrorism. It’s time to get tough! https://t.co/8mnY3GFRzw,0.02,0,not trump
1584,"Lyin’ Ted Cruz steals foreign policy from me, and lines from Michael Douglas— just another dishonest politician.",0.66,1,trump
1585,"Low energy Jeb Bush just endorsed a man he truly hates, Lyin’ Ted Cruz. Honestly, I can’t blame Jeb in that I drove him into oblivion!",0.62,1,trump
1586,Just watched Hillary deliver a prepackaged speech on terror. She’s been in office fighting terror for 20 years- and look where we are!,0.64,1,trump
1587,"I will be the best by far in fighting terror. I’m the only one that was right from the beginning, &amp; now Lyin’ Ted &amp; others are copying me.",0.58,1,trump
1612,Endorsements for Lyin' Ted Cruz- https://t.co/c3QEbexOwT,0.0,0,not trump
1682,The National Border Patrol Council (NBPC) said that our open border is the biggest physical &amp; economic threat facing the American people!,0.74,1,trump
1683,"For the 1st time in American history, America’s 16,500 border patrol agents have issue a presidential primary endorsement—me! Thank you.",0.66,1,trump
1684,Does anybody like Lyin' Ted? https://t.co/h78ESEgEYg,0.0,0,not trump
1686,We must build a great wall between Mexico and the United States! https://t.co/05SjuRJFbf,0.02,0,not trump
1687,"Can you believe that Ted Cruz, who has been killing our country on trade for so long, just put out a Wisconsin ad talking about trade?",0.88,1,trump
1732,"It is so great to be back home! Looking forward to a great rally tonight in Bethpage, Long Island!",0.6,1,trump
1736,Ted Cruz attacked New Yorkers and New York values- we don't forget! https://t.co/83ur9C1qhB,0.02,0,not trump
1746,Jennifer is a terrific person. https://t.co/EHL702civ5,0.04,0,not trump
1747,Looks like I was right about NATO. I had no doubt. https://t.co/x6Ne3sjAWz,0.06,0,not trump
1748,"Nobody beats me on National Security. 
https://t.co/sCrj4Ha1I5",0.02,0,not trump
1749,“Donald Trump—The Disrupter” will air on @FoxNews Saturday night and Sunday night at 8 PM ET. Anchored by @BretBaier. @johnrobertsFox,0.86,1,trump
1785,"This is happening all over our country—great people being disenfranchised by
politicians. Repub party is in trouble! https://t.co/wNXRqVl9Uu",0.06,0,not trump
1786,Colorado Trump Delegates Scratched from Ballots at GOP Convention https://t.co/WLkmYjJJR9,0.0,0,not trump
1837,"New York, we will make America great again! https://t.co/KyxbaW4fsL",0.02,0,not trump
1838,Lyin’ Ted Cruz even voted against Superstorm Sandy aid and September 11th help. So many New Yorkers devastated. Cruz hates New York!,0.66,1,trump
1839,"#MakeAmericaGreatAgain #NYPrimary
https://t.co/awow5pyn7n",0.0,0,not trump
1845,"#ICYMI: #Trump2016 closing speech in
Buffalo, New York!
#VoteTrumpNY https://t.co/tS6mWn2oth",0.02,0,not trump
1846,"LETS GO AMERICA! Time to take back
our country, and #MakeAmericaGreatAgain
Watch video &amp; go
#VoteTrump! https://t.co/lsKdqGFyvQ",0.02,0,not trump
1847,"#MakeAmericaGreatAgain
#Trump2016 https://t.co/awow5pyn7n",0.0,0,not trump
1848,"Who did the House Task Force on
Urgent Fiscal Issues call- when America needed HELP? 
https://t.co/Q1NErOtW9V",0.02,0,not trump
1849,"1988 with Oprah- discussing why I would never rule out a run for #POTUS.
#Trump2016 #VoteTrumpNY #PrimaryDay https://t.co/9rup33Rl29",0.02,0,not trump
1850,"Discussing #NewYorkValues
in Buffalo last night- on the eve of the #NYPrimary.
LETS GO NY! #VoteTrump 
https://t.co/6x8Dag7REA",0.0,0,not trump
1851,"RT @DonaldJTrumpJr: A message from Donald J. Trump to NEW YORK!
  https://t.co/FMosFLn8yq",0.06,0,not trump
1852,"Polls close in 3 hours! Everyone get out and VOTE!
#Trump2016 #MakeAmericaGreatAgain
https://t.co/EuFxefFu0D",0.06,0,not trump
1860,MAKE AMERICA GREAT AGAIN! https://t.co/tK6mKZpFBl,0.02,0,not trump
1863,#Trump360 Watch this 360 video of my speech last night at Trump Tower- https://t.co/2YT2Kxly9t,0.0,0,not trump
1898,Kasich just announced that he wants the people of Indiana to vote for him. Typical politician - can't make a deal work.,0.86,1,trump
1899,On the way to the great state of Rhode Island- big rally. Then to Pennsylvania for rest of day and night!,0.64,1,trump
1909,"Bernie Sanders has been treated terribly by the Democrats—both with delegates &amp; otherwise. He should show them, and run as an Independent!",0.62,1,trump
1911,How bad is the New York Times—the most inaccurate coverage constantly. Always trying to belittle. Paper has lost its way!,0.54,1,trump
1943,"Heading to rally with Bobby now! See you soon!
https://t.co/dWSSOEctZn",0.0,0,not trump
2002,Many reports that I will be attending the Alvarez/Khan fight this weekend in Vegas. Totally untrue! Unfortunately I have other plans.,0.82,1,trump
2003,I will be interviewed by @BretBaier @SpecialReport at 6pm ET tonight @FoxNews,0.78,1,trump
2005,"Bernie Sanders has been treated terribly by the Democrats—both with delegates &amp; otherwise. He should show them, &amp; run as an Independent.",0.66,1,trump
2015,Thank you to teachers across America! When I become POTUS we will make education a far more important component of our life than it is now.,0.5,0,not trump
2051,Crooked Hillary Clinton says that she got more primary votes than Donald Trump. But I had 17 people to beat—she had one!,0.8,1,trump
2052,"If I only had 1 person running against me in the primaries like Hillary Clinton, I would have gotten 10 million more votes than she did!",0.74,1,trump
2053,I will have set the all time record in primary votes in the Republican party --despite having to compete against 17 other people!,0.78,1,trump
2054,I am lowering taxes far more than any other candidate. Any negotiated increase by Congress to my proposal would still be lower than current!,0.62,1,trump
2055,RT @greta: interesting poll results so far (and go vote on https://t.co/0Zv2YvEdRX) https://t.co/BnsRf9GSxC,0.1,0,not trump
2056,"Thank you Jason Greenblatt @JasonDovEsq ""For Our Children: Let's Elect Donald Trump""  https://t.co/3diVyaiw2Q",0.16,0,not trump
2066,"Via @JTAnews and Jason Greenblatt  ""Donald Trump is a Visionary With Talents Our Country Needs"" @JasonDovEsq   https://t.co/lEGJyAinUh",0.46,0,not trump
2067,"I look very much forward to meeting w/Paul Ryan &amp; the GOP Party Leadership on Thurs in DC. Together, we will beat the Dems at all levels!",0.7,1,trump
2068,It was so great being in Nebraska last week. Today is the big day--get out and vote!,0.52,1,trump
2069,Hillary has bad judgment! https://t.co/LhcIU6kmxs,0.14,0,not trump
2070,The Clintons spend millions on negative ads on me &amp; I can’t tell the truth about her husband? Don’t feel sorry for crooked Hillary!,0.64,1,trump
2071,"RT @DanScavino: OHIO GENERAL ELECTION
Donald Trump vs. Hillary Clinton
#MakeAmericaGreatAgain #Trump2016 https://t.co/0yXQ4SFSLO",0.18,0,not trump
2072,"RT @DanScavino: LOUISIANA GENERAL ELECTION
Donald Trump vs. Hillary Clinton
#MakeAmericaGreatAgain #Trump2016 https://t.co/74vYOx7dKz",0.18,0,not trump
2077,Goofy Elizabeth Warren has been one of the least effective Senators in the entire U.S. Senate. She has done nothing!,0.9,1,trump
2078,Goofy Elizabeth Warren didn’t have the guts to run for POTUS. Her phony Native American heritage stops that and VP cold.,0.48,0,not trump
2081,Thanks Piers. https://t.co/hiDDT9hV0j,0.02,0,not trump
2082,"If the people of Massachusetts found out what an ineffective Senator goofy Elizabeth Warren has been, she would lose!",0.54,1,trump
2083,Goofy Elizabeth Warren is now using the woman’s card like her friend crooked Hillary. See her dumb tweet “when a woman stands up to you…”,0.9,1,trump
2084,"Our Native American Senator, goofy Elizabeth Warren, couldn’t care less about the American worker…does nothing to help!",0.74,1,trump
2085,Goofy Elizabeth Warren lied when she says I want to abolish the Federal Minimum Wage. See media—asking for increase!,0.52,1,trump
2086,Isn’t it funny when a failed Senator like goofy Elizabeth Warren can spend a whole day tweeting about Trump &amp; gets nothing done in Senate?,0.68,1,trump
2088,"If it were up to goofy Elizabeth Warren, we’d have no jobs in America—she doesn’t have a clue.",0.82,1,trump
2092,.@thehill  Your story about me &amp; the carbon tax is absolutely incorrect—it is just the opposite. I will not support or endorse a carbon tax!,0.42,0,not trump
2093,"An incredible honor to receive the endorsement of a person I
have such tremendous respect for. Thank you, Sheldon! https://t.co/nW0N3OO4mw",0.02,0,not trump
2115,"The @nytimes is so dishonest. Their hit piece cover story on me yesterday was just blown up by Rowanne Brewer, who said it was a lie!",0.9,1,trump
2116,"Wow, Rowanne Brewer, the most prominently depicted woman in the failing @nytimes story yesterday, was on @foxandfriends saying Times lied",0.92,1,trump
2118,"With the coming forward today of the woman central to the failing @nytimes hit piece on me, we have exposed the article as a fraud!",0.62,1,trump
2119,"Thank you, Anthony @Scaramucci @WSJ ""The Entrepreneur's Case for Trump""  https://t.co/xm45Ia1GTu",0.58,1,trump
2121,The failing @nytimes is greatly embarrassed by the totally dishonest story they did on my relationship with women.,0.44,0,not trump
2122,"No wonder the @nytimes is failing—who can believe what they write after the false, malicious &amp; libelous story they did on me.",0.7,1,trump
2123,Over 50 women were interviewed by the @nytimes yet they only wrote about 6. That’s because there were so many positive statements.,0.68,1,trump
2124,"The writer of the now proven false story in the @nytimes, Michael Barbaro, who was interviewed on CBS this morning, was unable to respond.",0.6,1,trump
2138,"I look forward to watching @megynkelly tonight, 8 PM ET. It will be interesting to see how she treats me—I think she will be very fair.",0.5,0,not trump
2184,Why did Clinton supporter @AlisonForKY declare Crooked Hillary winner in KY when AP hasn't even called the race?,0.68,1,trump
2191,How quality a woman is Rowanne Brewer Lane to have exposed the @nytimes as a disgusting fraud?  Thank you Rowanne.,0.44,0,not trump
2198,"""A Call for Unity"" by Jason Greenblatt @JasonDovEsq https://t.co/dQi3Cydckp",0.1,0,not trump
2230,Is Hillary really protecting women? https://t.co/8ZtEIWNqz4,0.02,0,not trump
2231,"Obama’s VA Secretary just said we shouldn't measure
wait times. Hillary says VA problems are not ‘widespread.’ I will take care of
our vets!",0.62,1,trump
2239,A great new book has been written about Crooked Hillary. Read it &amp; you will never be able to vote for her. @Ed_Klein https://t.co/ujDwSSFhbx,0.5,0,not trump
2240,A wonderfully written article concerning Israel by @JasonDovEsq https://t.co/LZ9qWRYzdj,0.14,0,not trump
2241,A suggestion for the dishonest media- https://t.co/zKyRwEaLmz,0.12,0,not trump
2268,"Today we, together, won the Republican Nomination for President! https://t.co/82l6TjA2lk",0.0,0,not trump
2376,Thank you Diamond and Silk! https://t.co/qdsLUy2hqD,0.0,0,not trump
2377,"RT @IvankaTrump: My next project is pretty amazing…!
xx, Ivanka https://t.co/Ucq3dz20sQ https://t.co/f60biSURQ7",0.16,0,not trump
2378,"See, when I said NATO was obsolete because of no terrorism protection, they made the change without giving me credit.https://t.co/sRCF1H3rjg",0.06,0,not trump
2400,RT @seanhannity: Graph: @RealDonaldTrump's Historic 13 Million Primary Votes Compared To Every GOP Nominee Since 1908 https://t.co/vNpfaSZ8…,0.06,0,not trump
2410,Obama just endorsed Crooked Hillary. He wants four more years of Obama—but nobody else does!,0.74,1,trump
2413,"Thank you Roseanne, very much appreciated. https://t.co/COXEJ1In8D",0.0,0,not trump
2421,"""Donald Trump Plans To Continue GOP
Legacy Of Leading On Women’s, Civil Rights Against Racist, Sexist Democrats"" 
https://t.co/nEPqAYw1G5",0.06,0,not trump
2424,"I rarely agree with President Obama- however he is 100% correct about Crooked Hillary Clinton. Great ad!
https://t.co/aOvVsZfAW3",0.18,0,not trump
2462,Thank you to the LGBT community! I will fight for you while Hillary brings in more people that will threaten your freedoms and beliefs.,0.54,1,trump
2508,I will be making a big speech tomorrow to discuss the failed policies and bad judgment of Crooked Hillary Clinton.,0.8,1,trump
2509,"Hillary says this election is about judgment.  She's right.  Her judgement has killed thousands, unleashed ISIS and wrecked the economy.",0.54,1,trump
2510,"Hillary Clinton surged the trade deficit with China 40% as
Secretary of State, costing Americans millions of jobs.",0.6,1,trump
2511,How can Hillary run the economy when she can't even send emails without putting entire nation at risk?,0.5,0,not trump
2513,Obama-Clinton inherited $10T in debt and turned it into nearly $20T.  They have bankrupted… https://t.co/1COtt0RPY7,0.06,0,not trump
2515,Hillary took money and did favors for regimes that enslave women and murder gays.,0.58,1,trump
2516,"If you want to know about Hillary Clinton's honesty &amp; judgment, ask the family of Ambassador Stevens.",0.42,0,not trump
2517,"Hillary defrauded America as Secy of State. She used it as a personal hedge fund to get herself rich! Corrupt, dangerous, dishonest.",0.56,1,trump
2518,I will be interviewed by @LouDobbs tonight on @FoxBusiness 7pm ET,0.96,1,trump
2521,Hillary says things can't change. I say they have to change. It's a choice between Americanism and her corrupt globalism. #Imwithyou,0.26,0,not trump
2523,#Imwithyou https://t.co/tan8BmAuR8 https://t.co/5EZ7X1ZZKh,0.0,0,not trump
2531,"RT @FoxBusiness: .@JerryJrFalwell: ""I was so impressed by [@realDonaldTrump's] speech yesterday. He was the best I've ever seen him."" https…",0.14,0,not trump
2532,"SC has kept us safe from exec amnesty--for now. But Hillary has pledged to expand it, taking jobs from Hispanic &amp; African-American workers.",0.6,1,trump
2533,Hillary Clinton’s open borders are tearing American families apart. I am going to make our country Safe Again for all Americans. #Imwithyou,0.2,0,not trump
2534,"Obama &amp; Clinton should stop meeting with special interests, &amp; start meeting with the victims of illegal immigration.",0.48,0,not trump
2535,"On immigration, I’m consulting with our immigration officers
&amp; our wage-earners. Hillary Clinton is consulting with Wall Street.",0.92,1,trump
2536,Our inner cities have been left behind. We will never have the resources to support our people if we have an open border.,0.62,1,trump
2537,RT @ScottAdamsSays: Trump's speech today is the best persuasion I have ever seen. Game over. Now running unopposed:  https://t.co/P7fHEMP6U…,0.12,0,not trump
2538,"CNN, which is totally biased in favor of Clinton, should apologize. They knew they were wrong.  https://t.co/KR7OnS8h6s",0.02,0,not trump
2539,Here is another CNN lie. The Clinton News Network is losing all credibility. I’m not watching it much anymore.  https://t.co/pNSgSjD5gW,0.02,0,not trump
2540,"Read my full statement here on the Supreme Court's executive amnesty decision #imwithyou 
https://t.co/sb1Ag1Eb27",0.04,0,not trump
2541,Meet the amazing mother whose letter I read during my speech. She lost her son to policies supported by Clinton. https://t.co/NdGQI6Dnji,0.06,0,not trump
2591,"Benghazi is just another Hillary Clinton failure. It just
never seems to work the way it's supposed to with Clinton.",0.5,0,not trump
2592,"Hillary Clinton’s Presidency would be catastrophic for
the future of our country. She is ill-fit with bad judgment.",0.58,1,trump
2593,"Yet another terrorist attack, this time in Turkey. Will
the world ever realize what is going on? So sad.",0.84,1,trump
2594,We must do everything possible to keep this horrible terrorism outside the United States.,0.44,0,not trump
2607,RT @DRUDGE_REPORT: 43-39 https://t.co/TkQYb6V2do,0.22,0,not trump
2608,The story with Hillary will never change. https://t.co/h0Av3TAIiM,0.18,0,not trump
2609,New book by @ericbolling is absolutely terrific and a must read! #WakeUpAmerica,0.3,0,not trump
2616,"#ThrowbackThursday #Trump2016
https://t.co/gFtspBViXe",0.0,0,not trump
2663,"The system is rigged. General Petraeus got in trouble for far less. Very very unfair! As usual, bad judgment.",0.58,1,trump
2664,FBI director said Crooked Hillary compromised our national security. No charges. Wow! #RiggedSystem,0.22,0,not trump
2665,Looking forward to meeting with @SenBobCorker in a little while. We will be traveling to North Carolina together today.,0.5,0,not trump
2680,Convention speaker schedule to be released tomorrow. Let today be devoted to Crooked Hillary and the rigged system under which we live.,0.64,1,trump
2769,"Looking forward to being at the convention tonight to watch all of the wonderful speakers including my wife, Melania. Place looks beautiful!",0.58,1,trump
2783,Good news is Melania's speech got more publicity than any in the history of politics especially if you believe that all press is good press!,0.6,1,trump
2784,The media is spending more time doing a forensic analysis of Melania's speech than the FBI spent on Hillary's emails.,0.36,0,not trump
2789,Thank you @IngrahamAngle! #AmericaFirst https://t.co/cv3I3xRSOK,0.02,0,not trump
2791,"Thank you @ScottWalker! #AmericaFirst 
#RNCinCLE https://t.co/k2Poy3gGvQ",0.0,0,not trump
2798,"Great job @EricTrump! Proud of you!
#AmericaFirst #RNCinCLE https://t.co/S7IHXDrmsJ",0.24,0,not trump
2802,"Great job @IvankaTrump! #RNCinCLE
https://t.co/swsAKE11F0",0.2,0,not trump
2805,You can watch 360 video live from the podium! https://t.co/yqcIsBUdAi #RNCinCLE #TrumpIsWithYou #MakeAmericaGreatAgain,0.02,0,not trump
2849,Thank you! #MakeAmericaGreatAgain https://t.co/Pzs9uwgzam,0.02,0,not trump
2904,President Obama spoke last night about a world that doesn’t exist. 70% of the people think our country is going in the wrong direction. #DNC,0.3,0,not trump
2905,RT @DRUDGE_REPORT: Obama Refers to Himself 119 Times During Hillary Nominating Speech... https://t.co/TyJI2DuqEk,0.1,0,not trump
2906,"RT @piersmorgan: Trump makes a funny, obvious joke about Russia going after Hillary's emails &amp; U.S. media goes insane with fury.
He plays t…",0.3,0,not trump
2909,Bernie caved! https://t.co/xtcOnA8cw1,0.04,0,not trump
2941,"Even Bill is tired of the lies, SAD! https://t.co/LPk1OkwH9P",0.02,0,not trump
3033,"DON'T LET HILLARY CLINTON DO IT AGAIN!
#TrumpPence16
https://t.co/1mGkPNZPKF",0.0,0,not trump
3070,"RT @NRA: .@RealDonaldTrump is right. If @HillaryClinton gets to pick her anti-#2A #SCOTUS judges, there’s nothing we can do. #NeverHillary",0.1,0,not trump
3071,RT @NRA: But there IS something we will do on #ElectionDay: Show up and vote for the #2A! #DefendtheSecond #NeverHillary,0.18,0,not trump
3072,"Thank you Wilmington, North Carolina!
#MakeAmericaGreatAgain https://t.co/ZnnaSPF5or",0.0,0,not trump
3073,"Thank you @SenatorFischer! #TrumpPence16
https://t.co/RMtU6aRZTQ",0.0,0,not trump
3074,"Thank you Senator @ChuckGrassley! #TrumpPence16
https://t.co/YmdH3fcaeW",0.0,0,not trump
3075,"When is the media going to talk about Hillary's policies that have gotten people killed, like Libya, open borders, and maybe her emails?",0.54,1,trump
